City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
7,Kapaa,US,82.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Umm Kaddadah,SD,83.98,scattered clouds,13.6017,26.6876,
20,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
31,Thinadhoo,MV,82.98,overcast clouds,0.5333,72.9333,
47,Ormara,PK,81.41,scattered clouds,25.2088,64.6357,Kenara Colony House for Rent
50,Butaritari,KI,82.47,broken clouds,3.0707,172.7902,Isles Sunset Lodge
57,Concepcion Del Oro,MX,81.19,few clouds,24.6333,-101.4167,Hotel Hacienda San Javier
69,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
70,Hilo,US,83.28,haze,19.7297,-155.09,Hilo Hawaiian Hotel
74,Victoria,HK,80.65,overcast clouds,22.2855,114.1577,Mini Central
76,Bahia Honda,CU,81.93,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
81,Kavaratti,IN,82.6,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
87,Cockburn Town,TC,80.46,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
88,Ratnagiri,IN,80.65,scattered clouds,16.9833,73.3,Hotel Landmark
93,Hithadhoo,MV,82.24,broken clouds,-0.6,73.0833,Scoop Guest House
119,Dingle,PH,81.03,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
129,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,hotel la terminal
151,Port Blair,IN,82.24,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
152,Acapulco,MX,80.91,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
157,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
167,Tual,ID,80.17,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
194,Bara,NG,81.41,clear sky,10.3744,10.7288,
201,Salalah,OM,81.27,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
218,Ambon,ID,81.77,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
238,Fort Pierce,US,80.06,moderate rain,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
243,Petrolina,BR,84.25,light rain,-9.3986,-40.5008,JB Hotel
250,Dicabisagan,PH,82.98,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
253,Lakatoro,VU,80.87,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
274,Bandarbeyla,SO,80.96,overcast clouds,9.4942,50.8122,JABIR HOTEL
281,Kavieng,PG,82.51,few clouds,-2.5744,150.7967,Nusa Island Retreat
292,Kralendijk,BQ,80.01,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
300,Lorengau,PG,83.23,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
308,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
314,Manokwari,ID,81.12,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
319,Pacific Grove,US,81.45,broken clouds,36.6177,-121.9166,Lovers Point Inn
